ts,epic,buyers_pct,sellers_pct
2026-03-06 01:05:23.536319+03,ETHUSD,86.59,13.41
2026-03-06 01:05:54.266317+03,ETHUSD,86.59,13.41
2026-03-06 01:12:37.328971+03,ETHUSD,86.59,13.41
2026-03-06 02:02:35.237778+03,ETHUSD,86.29,13.71
2026-03-06 02:03:06.056591+03,ETHUSD,86.29,13.71
2026-03-06 02:04:06.952084+03,ETHUSD,86.29,13.71
2026-03-06 02:06:41.10157+03,ETHUSD,86.29,13.71
2026-03-06 02:08:13.074263+03,ETHUSD,86.29,13.71
2026-03-06 02:10:47.107886+03,ETHUSD,86.25,13.75
2026-03-06 02:14:52.145699+03,ETHUSD,86.23,13.77
2026-03-06 02:15:22.727653+03,ETHUSD,86.23,13.77
2026-03-06 02:15:53.12485+03,ETHUSD,86.23,13.77
2026-03-06 02:17:58.37224+03,ETHUSD,86.23,13.77
2026-03-06 02:20:33.294161+03,ETHUSD,86.23,13.77
2026-03-06 02:21:35.158992+03,ETHUSD,86.25,13.75
2026-03-06 02:22:05.368825+03,ETHUSD,86.25,13.75
2026-03-06 02:22:35.597507+03,ETHUSD,86.25,13.75
2026-03-06 02:24:37.361457+03,ETHUSD,86.25,13.75
2026-03-06 02:26:41.470059+03,ETHUSD,86.28,13.72
2026-03-06 02:27:42.310421+03,ETHUSD,86.28,13.72
2026-03-06 02:31:19.377424+03,ETHUSD,86.28,13.72
2026-03-06 02:32:52.477042+03,ETHUSD,86.28,13.72
2026-03-06 02:33:23.308367+03,ETHUSD,86.28,13.72
2026-03-06 02:35:58.909313+03,ETHUSD,86.33,13.67
2026-03-06 02:36:30.879405+03,ETHUSD,86.33,13.67
2026-03-06 02:38:05.025916+03,ETHUSD,86.33,13.67
2026-03-06 02:38:36.6785+03,ETHUSD,86.33,13.67
2026-03-06 02:40:09.588973+03,ETHUSD,86.33,13.67
2026-03-06 02:42:12.261712+03,ETHUSD,86.32,13.68
2026-03-06 02:42:43.547584+03,ETHUSD,86.32,13.68
2026-03-06 02:43:20.061335+03,ETHUSD,86.32,13.68
2026-03-06 02:45:48.332162+03,ETHUSD,86.32,13.68
2026-03-06 02:46:18.523978+03,ETHUSD,86.32,13.68
2026-03-06 02:48:52.640701+03,ETHUSD,86.33,13.67
2026-03-06 02:49:55.011168+03,ETHUSD,86.33,13.67
2026-03-06 02:51:34.57509+03,ETHUSD,86.33,13.67
2026-03-06 02:53:07.835539+03,ETHUSD,86.22,13.78
2026-03-06 02:53:39.070655+03,ETHUSD,86.22,13.78
2026-03-06 02:54:09.974552+03,ETHUSD,86.22,13.78
2026-03-06 02:56:14.787932+03,ETHUSD,86.22,13.78
2026-03-06 02:56:45.487169+03,ETHUSD,86.22,13.78
2026-03-06 03:01:23.612536+03,ETHUSD,86.17,13.83
2026-03-06 03:04:35.2334+03,ETHUSD,86.17,13.83
2026-03-06 03:06:07.568071+03,ETHUSD,86.18,13.82
2026-03-06 03:06:38.632611+03,ETHUSD,86.18,13.82
2026-03-06 03:07:39.514549+03,ETHUSD,86.18,13.82
2026-03-06 03:08:11.358789+03,ETHUSD,86.18,13.82
2026-03-06 03:09:14.389679+03,ETHUSD,86.18,13.82
2026-03-06 03:11:18.638505+03,ETHUSD,86.29,13.71
