id,timeframe,computed_at,start_time,end_time,rows,latest_close,latest_score,buyers_plus_sellers_mean_abs_diff
3777,15m,2026-03-02 16:44:17.899904+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3780,5m,2026-03-02 16:45:19.730322+03,2026-01-31 02:10:00+03,2026-03-02 16:35:00+03,8602,1932.515,-0.8705856648795587,2.6432652341691707e-17
3782,30m,2026-03-02 16:45:19.958803+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3784,5m,2026-03-02 16:46:19.726007+03,2026-01-31 02:10:00+03,2026-03-02 16:40:00+03,8603,1929.855,0.8229995155759579,2.642957984926561e-17
3786,30m,2026-03-02 16:46:19.945383+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3788,5m,2026-03-02 16:47:20.559188+03,2026-01-31 02:10:00+03,2026-03-02 16:40:00+03,8603,1929.855,0.8229995155759579,2.642957984926561e-17
3790,30m,2026-03-02 16:47:20.922366+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3792,5m,2026-03-02 16:48:21.428306+03,2026-01-31 02:10:00+03,2026-03-02 16:40:00+03,8603,1929.855,0.8229995155759579,2.642957984926561e-17
3794,30m,2026-03-02 16:48:21.653055+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3795,1m,2026-03-02 16:49:24.698729+03,2026-01-31 02:11:00+03,2026-03-02 16:47:00+03,42912,1929.335,0,0
3797,15m,2026-03-02 16:49:25.381356+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3799,1m,2026-03-02 16:50:24.93898+03,2026-01-31 02:11:00+03,2026-03-02 16:48:00+03,42913,1930.345,0,0
3801,15m,2026-03-02 16:50:25.61167+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3803,1m,2026-03-02 16:51:25.417752+03,2026-01-31 02:11:00+03,2026-03-02 16:49:00+03,42914,1928.595,0,0
3805,15m,2026-03-02 16:51:26.074414+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3808,5m,2026-03-02 16:52:26.093662+03,2026-01-31 02:10:00+03,2026-03-02 16:45:00+03,8604,1928.595,-0.12083271361643592,2.6426508071040452e-17
3810,30m,2026-03-02 16:52:26.364869+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3812,5m,2026-03-02 16:53:26.61625+03,2026-01-31 02:10:00+03,2026-03-02 16:45:00+03,8604,1928.595,-0.12083271361643592,2.6426508071040452e-17
3814,30m,2026-03-02 16:53:27.067923+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3815,1m,2026-03-02 16:54:27.397601+03,2026-01-31 02:11:00+03,2026-03-02 16:52:00+03,42917,1922.525,-3.210096732194008,0
3817,15m,2026-03-02 16:54:28.081481+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3820,5m,2026-03-02 16:55:31.65564+03,2026-01-31 02:10:00+03,2026-03-02 16:45:00+03,8604,1928.595,-0.12083271361643592,2.6426508071040452e-17
3822,30m,2026-03-02 16:55:31.873046+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3824,5m,2026-03-02 16:56:31.676767+03,2026-01-31 02:10:00+03,2026-03-02 16:50:00+03,8605,1924.765,-0.7996221550911498,2.6423437006767237e-17
3826,30m,2026-03-02 16:56:31.943196+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3828,5m,2026-03-02 16:57:32.910739+03,2026-01-31 02:10:00+03,2026-03-02 16:50:00+03,8605,1924.765,-0.7996221550911498,2.6423437006767237e-17
3830,30m,2026-03-02 16:57:33.251891+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3832,5m,2026-03-02 16:58:33.3332+03,2026-01-31 02:10:00+03,2026-03-02 16:50:00+03,8605,1924.765,-0.7996221550911498,2.6423437006767237e-17
3834,30m,2026-03-02 16:58:33.569323+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3836,5m,2026-03-02 16:59:35.861076+03,2026-01-31 02:10:00+03,2026-03-02 16:50:00+03,8605,1924.765,-0.7996221550911498,2.6423437006767237e-17
3838,30m,2026-03-02 16:59:36.332842+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3839,1m,2026-03-02 17:00:35.536853+03,2026-01-31 02:11:00+03,2026-03-02 16:58:00+03,42923,1926.725,0.07186473177473884,0
3841,15m,2026-03-02 17:00:35.968336+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3843,1m,2026-03-02 17:01:36.395954+03,2026-01-31 02:11:00+03,2026-03-02 16:59:00+03,42924,1927.365,0.07186473177473884,0
3845,15m,2026-03-02 17:01:37.116592+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3847,1m,2026-03-02 17:02:36.415681+03,2026-01-31 02:11:00+03,2026-03-02 17:00:00+03,42925,1927.215,0.07186473177473884,0
